feature,importance
check_tier-1_cooling_system_cool_output_apc-rc-13_cool_output_t-29,0.008261564
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-13_fluid_temp_t-35,0.008232164
check_tier-1_cooling_system_airflow_apc-rc-19_airflow_t-59,0.008200688
check_tier-1_cooling_system_cool_output_apc-rc-27_cool_output_t-8,0.008194971
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-13_fluid_temp_t-42,0.008170379
check_tier-1_cooling_system_temp_apc-rc-24_unit_air_temp_t-52,0.008156576
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-27_fluid_temp_t-32,0.008119269
enter_fluid_temp_t-59,0.008107508
check_tier-1_cooling_system_cool_output_apc-rc-24_cool_output_t-51,0.008074675
check_tier-1_cooling_system_cool_output_apc-rc-16_cool_output_t-19,0.008052651
check_tier-1_cooling_system_temp_apc-rc-24_unit_air_temp_t-43,0.008009507
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-39,0.007960883
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-19_fluid_temp_t-21,0.007910251
check_tier-1_cooling_system_temp_apc-rc-5_unit_air_temp_t-25,0.007890413
check_tier-1_cooling_system_cool_output_apc-rc-27_cool_output_t-10,0.00784006
check_tier-1_cooling_system_temp_apc-rc-24_return_air_temp_t-55,0.0077828784
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-50,0.007701912
check_tier-1_cooling_system_cool_output_apc-rc-10_cool_output_t-20,0.007633127
check_tier-1_cooling_system_cool_output_apc-rc-2_cool_output_t-32,0.0076118736
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-19_fluid_temp_t-59,0.007587884
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-16_fluid_temp_t-39,0.0075847246
check_tier-1_cooling_system_cool_output_apc-rc-19_cool_output_t-10,0.0075074877
check_tier-1_cooling_system_temp_apc-rc-13_unit_air_temp_t-29,0.0074701253
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-27_fluid_temp_t-60,0.0074673514
